( passenger, driver )
( 1895, 3881)
( 1893, 3881)
( 2455, 116)
( 2456, 3881)
( 2459, 116)
( 2469, 116)
( 2339, 116)
( 2475, 3881)
( 2477, 3881)
( 1874, 3881)
( 2483, 116)
( 2485, 116)
( 1866, 3881)
( 2488, 116)
( 2087, 3881)
( 2109, 3881)
( 2199, 116)
( 2104, 3881)
( 2103, 3881)
( 2100, 3881)
( 2202, 3881)
( 2207, 116)
( 2212, 3881)
( 2093, 3881)
( 2088, 3881)
( 2192, 3881)
( 2085, 116)
( 2084, 116)
( 2083, 3881)
( 2082, 3881)
( 2081, 3881)
( 2220, 3881)
( 2221, 3881)
( 2076, 3881)
( 2225, 3881)
( 2231, 3881)
( 2239, 116)
( 2130, 3881)
( 2149, 3881)
( 2147, 116)
( 2152, 3881)
( 2145, 3881)
( 2143, 3881)
( 2159, 3881)
( 2138, 3881)
( 2137, 3881)
( 2164, 3881)
( 2166, 3881)
( 2133, 3881)
( 2065, 3881)
( 2128, 116)
( 2177, 3881)
( 2180, 3881)
( 2181, 3881)
( 2185, 116)
( 2118, 3881)
( 2187, 116)
( 2188, 3881)
( 2189, 116)
( 2191, 3881)
( 2314, 3881)
( 2297, 116)
( 2299, 3881)
( 2020, 3881)
( 2302, 3881)
( 2306, 3881)
( 2016, 3881)
( 2307, 116)
( 2310, 3881)
( 2311, 3881)
( 2313, 3881)
( 2027, 3881)
( 2316, 3881)
( 2008, 3881)
( 2003, 3881)
( 2322, 3881)
( 2000, 3881)
( 1996, 3881)
( 2332, 3881)
( 2336, 3881)
( 2269, 116)
( 2243, 3881)
( 2061, 3881)
( 2059, 3881)
( 2056, 3881)
( 2252, 3881)
( 2254, 116)
( 2256, 3881)
( 2262, 116)
( 2264, 3881)
( 2266, 3881)
( 2538, 3881)
( 2271, 3881)
( 2044, 3881)
( 2277, 3881)
( 2041, 3881)
( 2040, 3881)
( 2279, 3881)
( 2282, 116)
( 2035, 116)
( 2032, 3881)
( 2843, 116)
( 2808, 116)
( 2810, 116)
( 2817, 3881)
( 2819, 3881)
( 2823, 3881)
( 2826, 3881)
( 2831, 3881)
( 2845, 116)
( 2846, 116)
( 2847, 3881)
( 2850, 116)
( 2855, 116)
( 1555, 1695)
( 2864, 116)
( 2865, 116)
( 2866, 3881)
( 2785, 116)
( 2745, 116)
( 2752, 3881)
( 2757, 3881)
( 2760, 3881)
( 2761, 3881)
( 2763, 3881)
( 2768, 116)
( 2781, 3881)
( 1547, 1695)
( 2793, 3881)
( 2795, 116)
( 2797, 3881)
( 2803, 116)
( 2804, 3881)
( 2926, 116)
( 1501, 1695)
( 2932, 3881)
( 2933, 116)
( 1492, 1695)
( 2922, 3881)
( 2941, 3881)
( 2945, 3881)
( 2946, 3881)
( 2949, 116)
( 2950, 3881)
( 2961, 3881)
( 2963, 3881)
( 2868, 3881)
( 2872, 3881)
( 2873, 3881)
( 2874, 116)
( 2877, 3881)
( 2884, 116)
( 2885, 116)
( 2888, 3881)
( 2894, 116)
( 2743, 3881)
( 2897, 3881)
( 2899, 3881)
( 2902, 4508)
( 2903, 3881)
( 2908, 3881)
( 2912, 116)
( 2918, 3881)
( 2919, 116)
( 2921, 116)
( 1752, 3881)
( 2589, 3881)
( 2593, 116)
( 1772, 3881)
( 2600, 3881)
( 2604, 3881)
( 1763, 116)
( 1762, 3881)
( 2605, 3881)
( 2610, 3881)
( 1753, 116)
( 2587, 116)
( 2617, 3881)
( 1745, 116)
( 1743, 116)
( 2622, 116)
( 1740, 3881)
( 2625, 116)
( 2627, 3881)
( 2629, 116)
( 2565, 116)
( 2541, 3881)
( 2543, 3881)
( 2548, 116)
( 2551, 3881)
( 2553, 3881)
( 1810, 3881)
( 2562, 3881)
( 2563, 3881)
( 2631, 116)
( 1798, 3881)
( 1794, 3881)
( 2575, 3881)
