( passenger, driver )
( 4164, 4084)
( 3339, 4084)
( 4163, 4084)
( 4160, 4870)
( 4159, 4084)
( 4158, 4084)
( 4118, 4870)
( 3349, 3297)
( 4157, 4870)
( 4156, 4870)
( 4154, 4870)
( 4151, 4870)
( 3357, 387)
( 4144, 4084)
( 3364, 387)
( 3456, 4084)
( 4094, 4870)
( 4090, 4084)
( 3441, 4084)
( 3442, 387)
( 4081, 4084)
( 4079, 4084)
( 4076, 4870)
( 3452, 4084)
( 3455, 3297)
( 4095, 4084)
( 4075, 4870)
( 4074, 4870)
( 3459, 4084)
( 3460, 3297)
( 3461, 387)
( 3463, 4084)
( 4072, 4870)
( 3465, 4084)
( 3418, 4084)
( 4117, 4084)
( 3403, 4084)
( 4116, 4870)
( 4113, 4084)
( 3407, 4084)
( 3408, 387)
( 4105, 4870)
( 3417, 387)
( 3604, 4084)
( 3419, 387)
( 3420, 4084)
( 4103, 4870)
( 3424, 4084)
( 3427, 4084)
( 3429, 1547)
( 4099, 4870)
( 4096, 4084)
( 3791, 4084)
( 3778, 4870)
( 3780, 4870)
( 3941, 4870)
( 3783, 4084)
( 3786, 4870)
( 3787, 4084)
( 3788, 4084)
( 3789, 4084)
( 3790, 3297)
( 3777, 4084)
( 3940, 4870)
( 3937, 4084)
( 3935, 4870)
( 3801, 4084)
( 3934, 4870)
( 3933, 4084)
( 3805, 4870)
( 3808, 4084)
( 3951, 4870)
( 3736, 4870)
( 3738, 4084)
( 3739, 4084)
( 3740, 3297)
( 3742, 4084)
( 3745, 4084)
( 3749, 4084)
( 3953, 4084)
( 3809, 4084)
( 3765, 4084)
( 3947, 4870)
( 3767, 4084)
( 3771, 4084)
( 3772, 4084)
( 3774, 4870)
( 3944, 4084)
( 3775, 4084)
( 3903, 4870)
( 3850, 4870)
( 3852, 4084)
( 3853, 4084)
( 3854, 4084)
( 3859, 4870)
( 3904, 4870)
( 3863, 4084)
( 3864, 4084)
( 3866, 4870)
( 3847, 4084)
( 3870, 4870)
( 3900, 4870)
( 3895, 4084)
( 3876, 4870)
( 3892, 4084)
( 3877, 4084)
( 3888, 3297)
( 3882, 4084)
( 3824, 4870)
( 3927, 4084)
( 3814, 4084)
( 3816, 4870)
( 3819, 4870)
( 3924, 4870)
( 3820, 4870)
( 3822, 4870)
( 3823, 4870)
( 3957, 4870)
( 3919, 4084)
( 3829, 4084)
( 3834, 4084)
( 3916, 4870)
( 3915, 4870)
( 3838, 4870)
( 3841, 4870)
( 3843, 4084)
( 3998, 4870)
( 3641, 4084)
( 3643, 4870)
( 4003, 4084)
( 3649, 4084)
( 4001, 4870)
( 3651, 4084)
( 3653, 4084)
( 3654, 4084)
( 3999, 4084)
( 4004, 4084)
( 3658, 3297)
( 3996, 4870)
( 3661, 4084)
( 3994, 4870)
( 3663, 4084)
( 3664, 4084)
( 3669, 4084)
( 3991, 4870)
( 3624, 3497)
( 3605, 4084)
( 3609, 4084)
( 3611, 3297)
( 3615, 3297)
( 4020, 4084)
( 3618, 4870)
( 3620, 3297)
( 3621, 4084)
( 3672, 4084)
( 4018, 4084)
( 3630, 4084)
( 4015, 4870)
( 4013, 4084)
( 4011, 4870)
( 3636, 4084)
( 3638, 4084)
( 4009, 3297)
( 3719, 3297)
( 3704, 4084)
( 3967, 4870)
( 3708, 4084)
( 3710, 4084)
( 3711, 4084)
( 3712, 4084)
( 3964, 4870)
( 3717, 4084)
( 3703, 4084)
( 3960, 4084)
( 3722, 4084)
( 3724, 3297)
( 3725, 3297)
( 3727, 4084)
( 3728, 4084)
( 3959, 4870)
( 3733, 4084)
( 3981, 4870)
( 3676, 4084)
( 3677, 4084)
( 3678, 4084)
( 3679, 4084)
( 3985, 4870)
( 3680, 3297)
( 3682, 4084)
( 3684, 4084)
( 3334, 4084)
( 3979, 4870)
( 3689, 4084)
( 3976, 3297)
( 3975, 4084)
( 3694, 4084)
( 3696, 4084)
( 3971, 4084)
( 3968, 4870)
( 3032, 3297)
( 3021, 4084)
( 3022, 4084)
( 3023, 4084)
( 4395, 4084)
( 4394, 4870)
( 3025, 4084)
( 3027, 891)
( 3029, 3297)
( 3030, 891)
( 4398, 4870)
( 3033, 1547)
( 3034, 891)
( 4389, 4870)
( 3037, 4084)
( 3039, 891)
( 4386, 4084)
( 4381, 4870)
( 4378, 4084)
( 3007, 4084)
( 2994, 4084)
( 2996, 4084)
( 4414, 4870)
( 2997, 891)
( 3002, 4084)
( 3003, 4084)
( 4408, 4870)
( 4405, 4084)
( 3006, 891)
( 4372, 4084)
( 4402, 4870)
( 3008, 4084)
( 4401, 4084)
( 3009, 1547)
( 3010, 4084)
( 3013, 3297)
( 3017, 891)
( 3019, 4084)
( 4342, 3497)
( 4349, 4084)
( 3081, 891)
( 3082, 891)
( 4346, 4870)
( 4345, 4870)
( 4344, 4084)
( 3090, 4084)
( 3093, 4084)
( 4343, 4870)
( 4350, 4084)
( 4341, 4084)
( 3098, 891)
( 4340, 4084)
( 4338, 4870)
( 4337, 4870)
( 4336, 4084)
( 3104, 4084)
( 4335, 4870)
( 3065, 4084)
( 3049, 3297)
( 3050, 4084)
( 4369, 4084)
( 3055, 4084)
( 3056, 4084)
( 3057, 891)
( 3060, 4084)
( 4364, 1547)
( 2992, 4084)
( 3070, 4084)
( 3071, 3297)
( 3072, 891)
( 4357, 3203)
( 4356, 4084)
( 4353, 4084)
( 3075, 4084)
( 4352, 4084)
( 4460, 4084)
( 2900, 387)
( 4472, 4084)
( 2906, 891)
( 2907, 387)
( 2913, 891)
( 2914, 3297)
( 2916, 891)
( 4464, 3245)
( 2917, 387)
( 2898, 387)
( 2929, 387)
( 4456, 4084)
( 4453, 4084)
( 2930, 891)
( 2931, 891)
( 4447, 3245)
( 2934, 891)
( 2935, 4084)
( 2879, 387)
( 2860, 3297)
( 4501, 4084)
( 2867, 387)
( 4497, 4870)
( 2870, 4084)
( 2871, 891)
( 2876, 387)
( 4489, 4870)
( 2937, 1547)
( 4488, 1547)
( 2887, 4084)
( 2890, 891)
( 2891, 3497)
( 2893, 891)
( 2895, 387)
( 2896, 891)
( 4474, 4084)
( 2980, 4084)
( 2960, 4084)
( 2966, 4084)
( 4430, 4084)
( 2970, 4084)
( 2971, 3497)
( 2974, 3297)
( 3885, 4870)
( 2977, 4084)
( 2979, 4084)
( 2959, 891)
( 4416, 4870)
( 2981, 3297)
( 2982, 387)
( 2983, 387)
( 4415, 4084)
( 2984, 3297)
( 2985, 891)
( 2986, 4084)
( 2948, 387)
( 4443, 4084)
( 2938, 891)
( 2939, 387)
( 2940, 387)
( 2942, 387)
( 2944, 4084)
( 4438, 4084)
( 4437, 4870)
( 4334, 4870)
( 2951, 4084)
( 2952, 4084)
( 2953, 3297)
( 2954, 4084)
( 4433, 4084)
( 2956, 4084)
( 2957, 387)
( 2958, 3297)
( 3265, 387)
( 3260, 891)
( 3261, 4084)
( 4218, 4870)
( 4216, 4084)
( 4215, 3497)
( 4214, 4870)
( 4212, 4084)
( 3263, 4084)
( 3264, 4084)
( 3258, 387)
( 3266, 387)
( 4208, 4084)
( 4207, 4084)
( 3271, 4084)
( 4206, 4870)
( 3273, 891)
( 3274, 4084)
( 3275, 3297)
( 3239, 4084)
( 4245, 4084)
( 3231, 4084)
( 4244, 4084)
( 4243, 4084)
( 4239, 4870)
( 3234, 891)
( 3236, 891)
( 4237, 4084)
( 3276, 4084)
( 4236, 4084)
( 3241, 3297)
( 3244, 4084)
( 3246, 1547)
( 4225, 4084)
( 3252, 891)
( 4223, 4870)
( 3257, 4084)
( 3319, 4084)
( 4183, 4084)
( 4181, 4870)
( 4180, 4084)
( 3309, 4084)
( 3311, 891)
( 3312, 4084)
( 3314, 3297)
( 3315, 4084)
( 3317, 891)
( 3302, 891)
( 4178, 4084)
( 4176, 4084)
( 3321, 4084)
( 4175, 3297)
( 4173, 4084)
( 3323, 3297)
( 3326, 4084)
( 3332, 4084)
( 3292, 4084)
( 4205, 4870)
( 4198, 4870)
( 4196, 4870)
( 3286, 891)
( 3287, 891)
( 3289, 4084)
( 4193, 4870)
( 3290, 4084)
( 4248, 4084)
( 3293, 891)
( 4191, 4084)
( 4189, 3297)
( 3297, 3297)
( 3298, 891)
( 4188, 4084)
( 3300, 891)
( 4184, 4084)
( 3151, 891)
( 4314, 4084)
( 3137, 4084)
( 3142, 4084)
( 4311, 4084)
( 3144, 4084)
( 3145, 4084)
( 4308, 4084)
( 3149, 4084)
( 3150, 4084)
( 3135, 4084)
( 3156, 387)
( 4305, 4084)
( 3158, 3297)
( 3161, 4084)
( 3162, 3297)
( 4301, 4084)
( 4300, 4870)
( 4299, 4084)
( 4323, 4084)
( 3107, 891)
( 4332, 4084)
( 3109, 4084)
( 3112, 4084)
( 3114, 891)
( 4325, 4870)
( 3118, 891)
( 4324, 4084)
( 4298, 4084)
( 3124, 4084)
( 3125, 4084)
( 4322, 4084)
( 4320, 4870)
( 3130, 3297)
( 3131, 387)
( 4318, 4084)
( 4316, 4870)
( 3215, 4084)
( 4266, 4084)
( 3200, 4084)
( 4265, 4870)
( 3206, 387)
( 3207, 891)
( 4260, 4084)
( 4258, 4084)
( 4257, 4084)
( 3211, 4084)
( 3198, 4084)
( 3216, 4084)
( 4254, 4870)
( 4251, 4870)
( 4250, 4870)
( 3224, 4084)
( 3226, 4084)
( 3227, 891)
( 4249, 4084)
( 3181, 4084)
( 3168, 4084)
( 4293, 4084)
( 4290, 4084)
( 3175, 4084)
( 4282, 4870)
( 4281, 4084)
( 3178, 4084)
( 3179, 3297)
( 2859, 4084)
( 3184, 4084)
( 3186, 4084)
( 4273, 4870)
( 3191, 4084)
( 3192, 4084)
( 3194, 891)
( 4267, 4084)
( 3197, 387)
( 780, 2446)
( 1626, 387)
( 770, 2446)
( 1622, 387)
( 1621, 387)
( 1620, 387)
( 1619, 891)
( 1618, 891)
( 1617, 387)
( 1616, 891)
( 1615, 387)
( 1614, 891)
( 1612, 387)
( 762, 2446)
( 784, 891)
( 789, 2446)
( 1603, 387)
( 1602, 387)
( 1600, 891)
( 1599, 891)
( 796, 2446)
( 1594, 387)
( 798, 891)
( 1593, 891)
( 1591, 891)
( 719, 891)
( 704, 25)
( 1657, 891)
( 707, 25)
( 1654, 891)
( 1653, 387)
( 708, 2446)
( 709, 2446)
( 713, 2446)
( 714, 891)
( 1648, 891)
( 715, 2446)
( 716, 891)
( 1587, 387)
( 721, 2446)
( 1642, 891)
( 1640, 891)
( 732, 2446)
( 1636, 891)
( 742, 2446)
( 1633, 25)
( 1631, 891)
( 754, 2446)
( 755, 2446)
( 758, 2446)
( 852, 891)
( 1558, 891)
( 843, 891)
( 1553, 891)
( 845, 891)
( 1551, 891)
( 1550, 891)
( 849, 2446)
( 1544, 891)
( 1542, 891)
( 850, 2446)
( 1540, 891)
( 1539, 891)
( 841, 891)
( 855, 2446)
( 859, 891)
( 862, 891)
( 1533, 387)
( 1532, 891)
( 867, 891)
( 1531, 891)
( 1529, 891)
( 1528, 891)
( 1526, 891)
( 873, 891)
( 825, 2446)
( 805, 2446)
( 809, 2446)
( 1582, 891)
( 812, 891)
( 815, 891)
( 817, 891)
( 1578, 891)
( 820, 891)
( 823, 891)
( 1574, 387)
( 1573, 387)
( 1662, 387)
( 826, 891)
( 1569, 3297)
( 831, 891)
( 1568, 387)
( 1565, 891)
( 837, 891)
( 1563, 387)
( 1562, 891)
( 838, 2446)
( 839, 2446)
( 1560, 891)
( 578, 2446)
( 1779, 891)
( 1778, 387)
( 1777, 387)
( 1776, 387)
( 568, 2446)
( 1774, 387)
( 570, 891)
( 1771, 891)
( 1769, 387)
( 1768, 387)
( 577, 2446)
( 1764, 387)
( 1782, 891)
( 1760, 891)
( 1758, 387)
( 579, 2446)
( 1755, 891)
( 580, 25)
( 1751, 891)
( 1750, 891)
( 1749, 387)
( 1748, 891)
( 585, 2446)
( 1742, 891)
( 1803, 387)
( 1819, 387)
( 1818, 387)
( 1817, 387)
( 1814, 387)
( 1813, 387)
( 1811, 387)
( 1809, 891)
( 533, 2446)
( 539, 2446)
( 543, 2446)
( 544, 2446)
( 588, 2446)
( 1802, 387)
( 1801, 891)
( 550, 25)
( 559, 2446)
( 1792, 387)
( 1791, 387)
( 1790, 891)
( 562, 2446)
( 565, 2446)
( 566, 2446)
( 1784, 387)
( 682, 2446)
( 1696, 891)
( 1695, 891)
( 658, 2446)
( 1692, 387)
( 665, 891)
( 1688, 387)
( 670, 2446)
( 671, 1758)
( 1681, 891)
( 1680, 891)
( 675, 2446)
( 676, 2446)
( 655, 2446)
( 687, 2446)
( 1669, 387)
( 1668, 891)
( 1667, 387)
( 689, 2446)
( 690, 2446)
( 691, 2446)
( 692, 2446)
( 1666, 891)
( 694, 2446)
( 699, 2446)
( 1719, 891)
( 1739, 387)
( 1737, 387)
( 1734, 891)
( 1731, 387)
( 592, 2446)
( 1728, 891)
( 1725, 891)
( 599, 2446)
( 600, 2446)
( 1720, 891)
( 604, 2446)
( 1524, 891)
( 612, 2446)
( 1715, 387)
( 1713, 387)
( 639, 2446)
( 647, 891)
( 648, 2446)
( 1705, 891)
( 1704, 891)
( 1703, 891)
( 650, 2446)
( 653, 2446)
( 1100, 387)
( 1078, 891)
( 1081, 891)
( 1333, 891)
( 1332, 387)
( 1084, 891)
( 1085, 891)
( 1087, 2446)
( 1090, 891)
( 1095, 891)
( 1326, 891)
( 1098, 891)
( 1324, 387)
( 1077, 891)
( 1105, 387)
( 1320, 387)
( 1319, 387)
( 1318, 891)
( 1111, 387)
( 1315, 891)
( 1313, 387)
( 1114, 387)
( 1310, 387)
( 1309, 387)
( 1308, 387)
( 1365, 891)
( 1378, 387)
( 1024, 891)
( 1377, 891)
( 1026, 891)
( 1376, 891)
( 1375, 891)
( 1374, 891)
( 1031, 387)
( 1032, 891)
( 1034, 891)
( 1035, 891)
( 1119, 891)
( 1364, 387)
( 1041, 2446)
( 1356, 387)
( 1352, 387)
( 1060, 387)
( 1350, 387)
( 1061, 387)
( 1346, 891)
( 1345, 387)
( 1068, 387)
( 1076, 891)
( 1189, 387)
( 1168, 891)
( 1170, 387)
( 1173, 891)
( 1175, 387)
( 1259, 387)
( 1177, 891)
( 1257, 387)
( 1183, 891)
( 1254, 387)
( 1253, 387)
( 1185, 891)
( 1186, 891)
( 1167, 891)
( 1197, 387)
( 1247, 891)
( 1243, 387)
( 1242, 25)
( 1239, 891)
( 1214, 891)
( 1235, 387)
( 1234, 891)
( 1232, 891)
( 1227, 387)
( 1230, 387)
( 1285, 891)
( 1120, 891)
( 1125, 891)
( 1301, 891)
( 1127, 891)
( 1130, 387)
( 1297, 891)
( 1296, 387)
( 1290, 387)
( 1137, 891)
( 1139, 387)
( 1145, 891)
( 1021, 2446)
( 1147, 387)
( 1281, 387)
( 1151, 891)
( 1154, 387)
( 1156, 387)
( 1275, 891)
( 1160, 387)
( 1272, 891)
( 1163, 891)
( 1164, 387)
( 1265, 387)
( 1478, 891)
( 1497, 891)
( 904, 891)
( 905, 891)
( 906, 2446)
( 1489, 891)
( 1487, 891)
( 908, 2446)
( 909, 891)
( 1483, 387)
( 1481, 387)
( 1480, 387)
( 913, 2446)
( 1498, 891)
( 915, 2446)
( 1477, 891)
( 917, 2446)
( 918, 2446)
( 1472, 891)
( 1471, 891)
( 920, 2446)
( 1464, 891)
( 1463, 387)
( 1462, 891)
( 927, 891)
( 1513, 891)
( 1523, 891)
( 1522, 891)
( 1519, 387)
( 878, 2446)
( 1518, 3297)
( 1517, 387)
( 880, 891)
( 882, 2446)
( 883, 25)
( 884, 2446)
( 885, 25)
( 1461, 25)
( 887, 891)
( 1512, 387)
( 1510, 387)
( 1509, 387)
( 893, 2446)
( 894, 891)
( 1506, 387)
( 897, 891)
( 899, 891)
( 901, 891)
( 902, 2446)
( 1392, 891)
( 1412, 387)
( 983, 2446)
( 985, 891)
( 1405, 387)
( 986, 891)
( 1403, 891)
( 989, 891)
( 999, 891)
( 1001, 845)
( 1395, 387)
( 1005, 2446)
( 1393, 891)
( 971, 2446)
( 1008, 891)
( 1388, 387)
( 1386, 387)
( 1009, 387)
( 1010, 845)
( 1014, 2446)
( 1383, 387)
( 1382, 387)
( 1016, 25)
( 1017, 891)
( 1380, 891)
( 1437, 891)
( 1459, 387)
( 1458, 891)
( 940, 891)
( 1445, 891)
( 1444, 387)
( 1443, 891)
( 1440, 891)
( 1439, 891)
( 943, 2446)
( 1438, 387)
( 945, 2446)
( 2148, 387)
( 1436, 387)
( 1434, 891)
( 1432, 891)
( 956, 2446)
( 957, 891)
( 1424, 387)
( 1422, 387)
( 963, 891)
( 966, 2446)
( 968, 2446)
( 969, 891)
( 1902, 387)
( 143, 1361)
( 408, 2446)
( 145, 4181)
( 2089, 387)
( 1892, 387)
( 1896, 387)
( 1897, 891)
( 1900, 891)
( 2079, 891)
( 2078, 891)
( 404, 2446)
( 147, 3423)
( 149, 4181)
( 152, 3423)
( 1889, 387)
( 207, 1361)
( 400, 2446)
( 1969, 387)
( 2045, 891)
( 1906, 891)
( 2074, 891)
( 398, 2446)
( 2073, 891)
( 1909, 891)
( 2072, 387)
( 1911, 891)
( 396, 2446)
( 329, 3456)
( 123, 3595)
( 1876, 891)
( 2033, 387)
( 1981, 891)
( 1980, 387)
( 2036, 891)
( 122, 3595)
( 434, 2446)
( 427, 2446)
( 1880, 891)
( 1881, 891)
( 422, 2446)
( 314, 3456)
( 1883, 891)
( 421, 2446)
( 1918, 387)
( 2097, 387)
( 230, 1361)
( 1978, 891)
( 2096, 387)
( 2038, 387)
( 1977, 891)
( 414, 2446)
( 2039, 891)
( 1974, 387)
( 1886, 387)
( 1973, 891)
( 2094, 387)
( 135, 4181)
( 1938, 387)
( 162, 1361)
( 344, 3456)
( 166, 1361)
( 200, 1361)
( 169, 1361)
( 375, 3456)
( 372, 3456)
( 172, 1361)
( 176, 1361)
( 2058, 387)
( 178, 1361)
( 360, 3456)
( 345, 3456)
( 1937, 891)
( 1929, 387)
( 1939, 891)
( 1940, 891)
( 1943, 387)
( 346, 3456)
( 181, 1361)
( 348, 3456)
( 1945, 387)
( 186, 1361)
( 191, 1361)
( 1946, 387)
( 194, 1361)
( 2052, 891)
( 195, 1361)
( 1959, 891)
( 153, 1361)
( 1966, 25)
( 1965, 891)
( 390, 3456)
( 1922, 891)
( 333, 3456)
( 2070, 891)
( 1964, 891)
( 389, 2446)
( 2047, 387)
( 387, 2446)
( 2069, 387)
( 203, 1361)
( 124, 3595)
( 1924, 891)
( 1926, 387)
( 385, 2446)
( 202, 1361)
( 383, 3456)
( 1956, 891)
( 1955, 891)
( 1954, 387)
( 340, 3456)
( 1952, 891)
( 2066, 387)
( 342, 3456)
( 2050, 891)
( 1831, 891)
( 282, 1361)
( 1833, 891)
( 2124, 891)
( 2123, 387)
( 2010, 387)
( 2011, 387)
( 2028, 891)
( 461, 2446)
( 2139, 387)
( 1855, 387)
( 283, 1361)
( 476, 2446)
( 289, 1361)
( 1993, 891)
( 242, 1361)
( 269, 1361)
( 2121, 387)
( 2140, 387)
( 459, 2446)
( 2141, 387)
( 2012, 387)
( 1830, 891)
( 241, 1361)
( 2005, 387)
( 492, 2446)
( 494, 2446)
( 2134, 891)
( 2002, 891)
( 2135, 387)
( 277, 1361)
( 496, 25)
( 486, 2446)
( 484, 2446)
( 2131, 387)
( 2120, 891)
( 1843, 891)
( 1844, 891)
( 1845, 387)
( 1836, 891)
( 244, 1361)
( 273, 1361)
( 2126, 891)
( 281, 1361)
( 2114, 891)
( 300, 3885)
( 1873, 387)
( 2115, 3297)
( 441, 2446)
( 2110, 387)
( 1987, 891)
( 1822, 387)
( 510, 2446)
( 261, 1361)
( 440, 2446)
( 2031, 891)
( 512, 25)
( 1867, 387)
( 1824, 891)
( 439, 2446)
( 1823, 387)
( 2112, 891)
( 2117, 891)
( 311, 3456)
( 1991, 891)
( 2144, 891)
( 452, 2446)
( 1827, 387)
( 2106, 387)
( 296, 1361)
( 1826, 891)
( 119, 3595)
( 448, 2446)
( 304, 1361)
( 1870, 891)
( 1989, 891)
( 240, 1361)
( 926, 2697)
( 924, 2697)
( 921, 2697)
( 948, 2697)
( 250, 3211)
( 928, 2697)
( 246, 3211)
( 245, 3211)
( 3635, 4952)
( 4661, 4952)
( 4686, 1923)
( 213, 3211)
( 222, 3211)
( 4672, 4952)
( 961, 2697)
( 3585, 4952)
( 959, 2697)
( 955, 2697)
( 954, 2697)
( 1056, 2697)
( 3596, 4952)
( 239, 3211)
( 238, 3211)
( 952, 2697)
( 236, 3211)
( 950, 2697)
( 995, 2697)
( 988, 2697)
( 935, 2697)
( 4697, 4952)
( 4695, 4952)
( 977, 2697)
( 974, 2697)
( 4856, 4952)
( 1153, 2697)
( 1162, 2697)
( 4886, 4952)
( 4895, 4952)
( 1165, 2697)
( 1166, 2697)
( 4812, 4952)
( 121, 919)
( 4815, 4952)
( 4820, 1923)
( 1132, 2697)
( 4823, 4952)
( 1143, 2697)
( 1203, 2697)
( 1204, 2697)
( 1218, 2697)
( 1195, 2697)
( 4964, 4952)
( 1221, 2697)
( 4969, 4952)
( 1222, 2697)
( 1174, 2697)
( 1176, 2697)
( 1180, 2697)
( 4933, 4952)
( 4934, 4952)
( 1187, 2697)
( 1193, 2697)
( 156, 4344)
( 1036, 2697)
( 1037, 2697)
( 1042, 2697)
( 1044, 2697)
( 1048, 2697)
( 1049, 2697)
( 1053, 2697)
( 2, 4116)
( 155, 4344)
( 1058, 2697)
( 1030, 2697)
( 1013, 2697)
( 4724, 4952)
( 4728, 4952)
( 1022, 2697)
( 4746, 4952)
( 4755, 4952)
( 4756, 4952)
( 1108, 2697)
( 1097, 2697)
( 133, 4344)
( 1103, 2697)
( 132, 3886)
( 1107, 2697)
( 1093, 2697)
( 128, 4344)
( 1110, 2697)
( 126, 4344)
( 1118, 2697)
( 1064, 2697)
( 1071, 2697)
( 198, 3886)
( 1074, 2697)
( 425, 971)
( 651, 971)
( 656, 971)
( 659, 2697)
( 661, 2697)
( 669, 971)
( 4358, 4952)
( 4067, 4952)
( 4082, 4952)
( 4326, 4952)
( 613, 971)
( 614, 971)
( 616, 2697)
( 436, 971)
( 640, 2697)
( 644, 2697)
( 402, 971)
( 700, 2697)
( 702, 971)
( 706, 2697)
( 399, 971)
( 4393, 4952)
( 711, 2697)
( 4400, 1923)
( 391, 971)
( 3928, 4952)
( 685, 2697)
( 674, 2697)
( 3992, 4952)
( 678, 971)
( 683, 2697)
( 4084, 4952)
( 4374, 4952)
( 3972, 4952)
( 407, 971)
( 4380, 1923)
( 3965, 4952)
( 406, 971)
( 4148, 4952)
( 504, 971)
( 561, 2697)
( 503, 971)
( 502, 971)
( 563, 971)
( 564, 2697)
( 4162, 4952)
( 497, 971)
( 567, 971)
( 488, 971)
( 569, 971)
( 523, 971)
( 525, 971)
( 4199, 4952)
( 529, 971)
( 4138, 4952)
( 506, 971)
( 549, 971)
( 4166, 4952)
( 590, 2697)
( 4114, 4952)
( 4110, 4952)
( 457, 971)
( 453, 971)
( 589, 2697)
( 4106, 4952)
( 4104, 4952)
( 446, 971)
( 593, 2697)
( 443, 3886)
( 594, 2697)
( 4098, 4952)
( 4097, 4952)
( 595, 2697)
( 575, 971)
( 482, 971)
( 4278, 4952)
( 4279, 4952)
( 4122, 4952)
( 4295, 4952)
( 584, 971)
( 863, 2697)
( 856, 2697)
( 860, 2697)
( 320, 3397)
( 868, 2697)
( 870, 2697)
( 4500, 4952)
( 844, 2697)
( 327, 971)
( 4546, 4952)
( 846, 2697)
( 847, 2697)
( 848, 2697)
( 267, 3211)
( 3668, 4952)
( 274, 3211)
( 271, 3211)
( 910, 2697)
( 265, 3211)
( 4603, 4952)
( 260, 3211)
( 3699, 4952)
( 297, 3211)
( 881, 2697)
( 294, 3211)
( 4561, 4952)
( 284, 3886)
( 890, 2697)
( 896, 2697)
( 280, 3211)
( 765, 2697)
( 772, 2697)
( 773, 2697)
( 4429, 1923)
( 777, 2697)
( 370, 971)
( 735, 2697)
( 3909, 4952)
( 3906, 4952)
( 740, 2697)
( 747, 2697)
( 4410, 4952)
( 751, 2697)
( 763, 2697)
( 4471, 4952)
( 818, 2697)
( 819, 2697)
( 824, 2697)
( 811, 2697)
( 829, 2697)
( 4478, 4952)
( 4483, 2768)
( 835, 2697)
( 836, 2697)
( 336, 971)
( 335, 971)
( 369, 971)
( 779, 2697)
( 783, 2697)
( 788, 2697)
( 3825, 1923)
( 800, 2697)
( 802, 2697)
( 803, 2697)
( 3005, 104)
( 1447, 2697)
( 2518, 2697)
( 1840, 2697)
( 1841, 2697)
( 1842, 2697)
( 1854, 2697)
( 2503, 2697)
( 1448, 2697)
( 1426, 2697)
( 2499, 2697)
( 1859, 2697)
( 3016, 1923)
( 2487, 2697)
( 1865, 2697)
( 1878, 2697)
( 2476, 2697)
( 1796, 2697)
( 2564, 2697)
( 1486, 2697)
( 1479, 2697)
( 2947, 1923)
( 1806, 2697)
( 1808, 2697)
( 1815, 2697)
( 2547, 2697)
( 1415, 2697)
( 1466, 2697)
( 1821, 2697)
( 2536, 2697)
( 1829, 2697)
( 1456, 2697)
( 1454, 2697)
( 2529, 2697)
( 1451, 2697)
( 2524, 2697)
( 1837, 2697)
( 1372, 2697)
( 2418, 2697)
( 1384, 2697)
( 1381, 2697)
( 1932, 2697)
( 2410, 2697)
( 1936, 2697)
( 2407, 2697)
( 2401, 2697)
( 1944, 2697)
( 2394, 2697)
( 2419, 2697)
( 1371, 2697)
( 2391, 2697)
( 1369, 2697)
( 1363, 2697)
( 2371, 2697)
( 1970, 2697)
( 2367, 2697)
( 2366, 2697)
( 1975, 2697)
( 1894, 2697)
( 2474, 2697)
( 1882, 2697)
( 1884, 2697)
( 2468, 2697)
( 2467, 2697)
( 1885, 2697)
( 2462, 2697)
( 1887, 2697)
( 1888, 2697)
( 1400, 2697)
( 2576, 2697)
( 1899, 2697)
( 2449, 2697)
( 2447, 2697)
( 1904, 2697)
( 1905, 2697)
( 1907, 2697)
( 1394, 2697)
( 1919, 2697)
( 1921, 2697)
( 2426, 2697)
( 1655, 2697)
( 1584, 2697)
( 1583, 2697)
( 1663, 2697)
( 1672, 2697)
( 1676, 2697)
( 2837, 1923)
( 1649, 1832)
( 1689, 2697)
( 1690, 2697)
( 1567, 2697)
( 1693, 2697)
( 1564, 2697)
( 1694, 2697)
( 1625, 2697)
( 1623, 2697)
( 1627, 2697)
( 1630, 2697)
( 1611, 2697)
( 1632, 2697)
( 1634, 2697)
( 1606, 2697)
( 1598, 2697)
( 1638, 2697)
( 1641, 2697)
( 1645, 2697)
( 1514, 2697)
( 1729, 2697)
( 2623, 2697)
( 2618, 2697)
( 1521, 2697)
( 2615, 2697)
( 1756, 2697)
( 1761, 2697)
( 1515, 2697)
( 1530, 2697)
( 1767, 2697)
( 1775, 2697)
( 1507, 2697)
( 1780, 2697)
( 1785, 2697)
( 1786, 2697)
( 1788, 2697)
( 1556, 2697)
( 1552, 2697)
( 1548, 2697)
( 1545, 2697)
( 1538, 2697)
( 2656, 2697)
( 2466, 2697)
( 2654, 2697)
( 2653, 2697)
( 1717, 2697)
( 1718, 2697)
( 1721, 2697)
( 1723, 2697)
( 2253, 2697)
( 2281, 2697)
( 1311, 2697)
( 1307, 2697)
( 2273, 2697)
( 1306, 2697)
( 1305, 2697)
( 2046, 2697)
( 2265, 2697)
( 2051, 2697)
( 2054, 2697)
( 1316, 2697)
( 2250, 2697)
( 2057, 2697)
( 2248, 2697)
( 2060, 2697)
( 2242, 2697)
( 2064, 2697)
( 2238, 2697)
( 2067, 2697)
( 1283, 2697)
( 1282, 2697)
( 2304, 2697)
( 1330, 2697)
( 1329, 2697)
( 1328, 2697)
( 2301, 2697)
( 2300, 2697)
( 2024, 2697)
